Palabra,Descripción,Categoría,Sinónimos,Antónimos
ABANDONAR,"Verbo pleno Dejar, desamparar a una persona o cosa. // 2. Dejar alguna cosa ya iniciada.",v. tr.,"Abandonar, dejar, desamparar.","Amparar, mantener."
ABANICAR/SE,Verbo espacial locativo Echar o echarse aire con un abanico.,interj.,"Abanicar, abanicarse",
ABANICO,Instrumento que sirve para echarse aire cuando hace calor.,sust. m.,Abanico.,
ABECEDARIO,Las letras del alfabeto.,sust. m.,"Abecedario, alfabeto.",
ABEJA,Insecto que vive en colmenas y produce miel. Tiene una lanceta y puede picar.,sust. f.,Abeja.,
ABOGADO,Persona que trabaja en los tribunales de justicia y también aconseja sobre cuestiones legales.,sust. m.,"Abogado, legista, jurista, defensor.","Acusador, fiscal."
ABORTAR,Verbo pleno Interrumpir el embarazo en forma provocada.,v. intr.,Abortar.,
ABOTONAR,Verbo espacial locativo Pasar los botones por ojales de una prenda de vestir.,v. intr.,Abotonar.,Desabotonar.
ABRAZAR,Verbo pleno Estrechar entre los brazos en señal de cariño.,v. tr.,"Abrazar, ceñir.",Soltar.
ABREVIAR,Verbo pleno Acortar o reducir a menos tiempo o espacio.,v. tr.,"Abreviar, acortar.",Extender.
ABRIGAR/SE,Verbo espacial locativo Cubrirse con ropa gruesa para defenderse del frío.,v. tr.,"Abrigarse, taparse, cubrir, arropar.","Desabrigarse, destaparse."
ABRIGO,Prenda de vestir gruesa que se pone sobre las demás y sirve para abrigar.,sust. m.,"Abrigo, chaquetón, sobretodo, gabán.",
ABRIL,Cuarto mes del año que consta de treinta días y en el que comienza la caída de las hojas de los árboles.,sust. m.,Abril.,
ABRIR-CAJÓN,"Verbo espacial locativo Tirar hacia fuera el cajón de un mueble, sin sacarlo del todo.",v. tr.,Abrir un cajón.,Cerrar un cajón.
ABRIR-LATA,Verbo espacial locativo Separar la parte superior de una lata de conservas con un instrumento especial para ello.,v. tr.,"Abrir una lata, abrir un tarro, abrir una conserva.",
ABRIR-PUERTA,Verbo espacial locativo Hacer girar la puerta para pasar a otro lugar.,v. tr.,Abrir la puerta.,Cerrar la puerta.
ABUELO/A,Padre o madre del padre o de la madre.,sust. m. y f.,"Abuelo, abuela.",
ABUNDANTE,"Mucho, en gran cantidad.",adj.,"Abundante, excesivo, cuantioso.",Escaso.
ABURRIR/SE,"Verbo pleno Cansarse de alguna cosa, tomarle tedio.",v. tr.,"Aburrir, cansar, fastidiar.","Animar, divertir, entretener."
ABURRIDO/A,Persona que siente fastidio o molestia.,adj.,"Aburrido, fastidiado, cansado, molesto.","Animado, divertido, entretenido."
ACABAR/SE,"Verbo pleno Consumir o consumirse, terminarse una cosa.",v. tr.,"Acabarse, consumirse, terminarse, agotarse, finalizarse.","Llenarse, atiborrarse."
ACALORADO/A,Alguien que siente mucho calor.,adj.,Acalorado.,
ACAMPAR,"Verbo pleno Pasar un tiempo en el campo o fuera de la ciudad, en carpa.",v. intr.,Acampar.,
ACARICIAR,Verbo espacial locativo Hacer caricias. // 2. Tratar a alguien con amor y ternura.,v. tr.,"Acariciar, rozar, tocar.","Cachetear, golpear."
ACEITE,Líquido grasoso que se usa para cocinar y para aliñar las comidas.,sust. m.,Aceite.,
ACELGA,"Planta comestible, de hojas verdes, grandes, anchas, lisas, jugosas y acanaladas.",sust. f.,Acelga.,
ACEPTAR,Verbo pleno Admitir o aprobar como bueno algo.,v. tr.,"Aceptar, aprobar, admitir.",Rechazar.
ACERO,Metal que resulta de la mezcla de hierro y carbono.,sust. m.,Acero.,
ACOMPAÑAR,Verbo de concordancia Estar o ir en compañía de otro u otros.,v. tr.,"Acompañar, juntarse.","Abandonar, dejar."
ACOSAR,Verbo pleno Perseguir a una persona con molestias o con requerimientos.,v. tr.,"Acosar, asediar, hostigar.",
ACOSO-SEXUAL,Persecusión hacia una persona con requerimientos de tipo sexual.,sust. m.,Acoso sexual.,
ACOSTAR/SE,"Verbo pleno Echar o tender a alguien. Tenderse para dormir o descansar, especialmente en la cama.",v. tr.,"Acostarse, tenderse.","Levantarse, enderezarse, erguirse."
